id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
05mAIVLkIWc2d1UBYZBCp8,0.742,0.739,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4,studio
3QjD3WxYyJkZHc6iJJUhyF,0.735,0.406,9,-4.335,1,0.0659,0.0204,0,0.204,0.304,176.229,210440,4,studio
7EAFj7eJcMF5koWSRJVZcL,0.856,0.681,11,-5.166,0,0.0517,0.0224,0,0.188,0.755,132.011,184040,4,studio
2tUBqZG2AbRi7Q0BIrVrEj,0.824,0.709,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,4,studio
1xWH8zYtDeS9mW1JJG23VZ,0.485,0.831,10,-6.677,0,0.15,0.375,1.47e-05,0.118,0.622,80.022,245667,4,studio
1FSWSs9CL01RCYxXtm08Rf,0.748,0.672,11,-5.922,0,0.0589,0.305,0,0.0811,0.964,163.984,202227,4,studio
6BaxqcoEM9r3LXisTyJjST,0.83,0.442,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4,studio
6AdLyvisRKHLAwARaZMGr6,0.921,0.752,5,-4.321,0,0.0696,0.0182,0,0.256,0.634,115.033,236693,4,studio
49ppqF73rOz5Nyt1paRxIF,0.791,0.781,7,-3.903,0,0.0468,0.145,0,0.127,0.902,76.998,222293,4,studio
44M8gY48QHhvc6vn5be10N,0.847,0.66,1,-3.25,1,0.191,0.0628,0,0.112,0.925,180.01,204293,4,studio
5uHYcK0nbEYgRaFTY5BqnP,0.932,0.549,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,196133,4,studio
7z73ehYAn9O1XP9XlCqVtd,0.616,0.719,1,-3.951,1,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,200880,4,studio
6A5NlmBCsCGbJ27jHQgKV5,0.674,0.854,11,-4.896,1,0.0705,0.0204,0,0.101,0.818,125.845,210800,4,studio
67T6l4q3zVjC5nZZPXByU8,0.711,0.615,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,221253,4,studio
3zrYNl1aMdFrQkcOjKVr5u,0.822,0.693,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,studio
