id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
1pyGzIcVMlrn1SCr0DfuuS,0.774,0.607,9,-8.365,1,0.0307,0.104,0.013,0.977,0.4,107.357,382427,4,live
0RU0LGY8n0iB4IxvvfgqHz,0.687,0.472,2,-9.94,1,0.0418,0.358,1.29e-05,0.783,0.705,126.396,360413,4,live
7AvfjAJcRWfgVQGHHDWLJT,0.439,0.751,9,-8.246,1,0.0302,0.0464,0,0.755,0.704,107.454,266413,4,live
5B5X7IDKH9Aeb7NcLdErG7,0.503,0.45,7,-8.192,1,0.0287,0.718,0,0.911,0.205,87.634,299160,4,live
1djwWsVaJH3NwCgktzssfd,0.874,0.345,11,-5.735,1,0.0719,0.0388,0,0.666,0.316,167.499,334367,4,live
21uqk0VElbm5bxCNTR3E6M,0.693,0.313,7,-11.795,1,0.117,0.315,0.0287,0.869,0.649,133.195,447093,4,live
4szKCpgSKZX39jaqXCZBt4,0.919,0.446,4,-5.366,0,0.106,0.0848,0,0.981,0.256,131.957,233440,4,live
6xaAFGeSZEaab94OYxoXA1,0.958,0.445,4,-4.3,1,0.131,0.163,0.00989,0.975,0.271,118.225,214200,4,live
4suTnxUk7NktntcZYQjr4Y,0.941,0.349,2,-6.066,0,0.0711,0.0985,0.211,0.981,0.283,153.936,654307,4,live
0gaFkcJeUDZ1OFFcFU7aH7,0.528,0.569,5,-9.807,0,0.161,0.565,0,0.955,0.675,128.001,421533,4,live
4i7lsaLpSDzJ7TvAiBtHsI,0.392,0.483,7,-15.309,1,0.0418,0.599,0.00033,0.0926,0.483,127.052,493933,4,live
32CRhXJiFnuzzE8SHTsttD,0.846,0.233,7,-5.939,1,0.0687,0.033,0.0719,0.486,0.135,129.046,406253,4,live
7cw4jNkBm2tM0N6GiAVQMr,0.706,0.508,6,-8.964,0,0.0598,0.492,0.00136,0.973,0.749,85.28,318440,4,live
3peU8s6xW7LrJFQathQkL7,0.652,0.678,6,-12.098,1,0.0458,0.162,0,0.861,0.787,92.865,232840,4,live
