id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
6ixNehh9DrMM9vYhN93foh,0.679,0.563,0,-6.191,1,0.0441,0.825,0,0.336,0.76,123.38,97760,4,studio
1X6dRpq3Wi6Jxthi8ZBBBz,0.443,0.52,7,-7.755,1,0.0399,0.811,0.00104,0.0489,0.766,123.9,197653,4,studio
0udZHhCi7p1YzMlvI4fXoK,0.364,0.593,11,-8.346,1,0.0388,0.852,8.64e-06,0.148,0.388,125.854,158707,4,studio
3SF5puV5eb6bgRSxBeMOk9,0.397,0.377,7,-8.427,1,0.0312,0.817,0.0496,0.187,0.462,108.591,187400,3,studio
2AyqRzXZ6ZmHcfZ1Mu4Vsj,0.348,0.6,9,-9.66,0,0.036,0.817,5.38e-05,0.11,0.655,127.078,139840,4,studio
4aFM4HgUGRM1cB75qbh2Su,0.732,0.448,7,-6.346,1,0.0366,0.765,0.000474,0.0799,0.741,125.845,201680,4,studio
6wrEYf9IyrjaLccRBhrsCO,0.505,0.634,4,-9.703,1,0.0471,0.841,0.00554,0.0887,0.62,132.521,170533,4,studio
3qjiLjxJ4AZvLOtiE8znrD,0.796,0.563,2,-6.217,1,0.0451,0.802,0.00234,0.239,0.968,137.967,104973,4,studio
1EDjgsFptABkWWjdEbCjwJ,0.513,0.519,9,-6.495,1,0.0328,0.785,0.0039,0.1,0.634,133.622,154787,4,studio
3yFRbFaSj8MeNuYaN21HIu,0.317,0.528,9,-10.133,0,0.0285,0.865,0.00215,0.102,0.277,96.446,318013,4,studio
1v4EF7zZLvC8XkcEncOTue,0.676,0.455,0,-6.533,1,0.0365,0.835,0.00051,0.322,0.517,132.422,136760,4,studio
0dfdXhBg11XA16XgAEtFcN,0.257,0.53,9,-13.968,1,0.0332,0.913,0.0299,0.11,0.499,95.538,160000,1,studio
7CviZOg1GotsImZjY4nrET,0.237,0.639,7,-11.157,1,0.0473,0.855,2.05e-06,0.0617,0.676,107.67,163840,4,studio
3pJPOL2m14JXr4OWuptB7a,0.254,0.564,2,-11.399,1,0.03,0.834,0.122,0.144,0.449,128.826,241800,4,studio
0S91fjUrx0LBF0ECHUjuG8,0.3,0.446,7,-10.981,1,0.0587,0.861,0,0.0756,0.382,174.302,114867,4,studio
2IWduvB3URsX4vzQ8xmh6T,0.41,0.573,7,-10.791,1,0.0344,0.685,0.00027,0.0831,0.76,136.708,247200,4,studio
5tPcxgWQYkbC3g7ncwnROD,0.877,0.533,6,-11.447,1,0.0597,0.296,0.000693,0.359,0.799,125.389,140920,4,studio
18GiV1BaXzPVYpp9rmOg0E,0.0993,0.38,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4,studio
739sLmfUkVFoyPtb0C3263,0.115,0.538,10,-19.536,1,0.0335,0.883,8.42e-05,0.113,0.312,102.296,199573,4,studio
7xVpkVkd1klTzLJEysIR7z,0.273,0.556,5,-15.973,1,0.0372,0.613,3.27e-06,0.188,0.692,166.064,271360,3,studio
7fzLfsWsXVvStzsk9yRfbG,0.138,0.473,7,-21.116,1,0.0706,0.66,6.4e-06,0.105,0.416,137.679,204507,3,studio
1xa66kvw6zwboiW7c8W9t8,0.179,0.533,9,-18.796,1,0.0958,0.784,0.000195,0.133,0.851,124.594,140267,4,studio
7ny2ATvjtKszCpLpfsGnVQ,0.198,0.567,4,-18.681,1,0.0327,0.919,0.000871,0.135,0.321,92.467,412200,4,studio
2WOjLF83vqjit2Zh4B69V3,0.243,0.6,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,217400,4,studio
4MNxOR2Fu4NqJ892UdYx0h,0.247,0.48,7,-15.929,1,0.0311,0.747,2.86e-06,0.0745,0.422,109.646,300107,4,studio
7Ay1lHxhuM33NoXKsS0iom,0.218,0.658,8,-17.302,1,0.0377,0.876,0.00188,0.16,0.632,106.73,107227,4,studio
0ePDsEDDIPZNpbwRUEXKoX,0.219,0.566,10,-16.813,1,0.0578,0.781,0.000154,0.342,0.718,115.861,385267,4,studio
1L4RtuEiAiwdX5taX4meLI,0.209,0.667,5,-16.915,1,0.0358,0.847,0.00696,0.0773,0.685,95.311,161467,4,studio
71XTdtW3bvmIrotG8yYVMS,0.525,0.545,2,-12.606,1,0.0859,0.839,5.26e-06,0.256,0.947,119.29,118160,4,studio
0D7qLnnev1iKpH5RNT7YsD,0.314,0.64,2,-12.88,1,0.038,0.86,5.72e-06,0.0779,0.798,100.552,288000,4,studio
3fVIvjKAtIyWS8kwC8Dwr6,0.31,0.676,7,-10.103,1,0.0611,0.921,5.88e-05,0.123,0.8,115.555,223840,4,studio
5fcbd0Z5V7t2871wKTM4qJ,0.226,0.626,8,-13.843,1,0.0331,0.932,0.00149,0.12,0.354,92.299,212067,3,studio
7zGsBZtQQYEU46WGTzXdNx,0.397,0.483,0,-9.387,1,0.051,0.837,0.00917,0.0916,0.387,118.954,252107,4,studio
2o5UFDGMtOsnvzP1QR14Kz,0.297,0.561,7,-10.62,1,0.0555,0.89,0.00563,0.109,0.314,106.452,51200,1,studio
7MHaCeb8YdTvEU3WreJgMY,0.473,0.695,7,-7.562,1,0.031,0.846,0,0.0651,0.625,101.986,158693,3,studio
1OEeYRbR1O40Yu6wmt1ReJ,0.298,0.522,3,-14.616,1,0.0304,0.899,0.00224,0.109,0.576,98.826,157667,4,studio
2gKGBvsrLuxcQimvsRAnfQ,0.201,0.494,0,-12.637,1,0.05,0.88,0,0.11,0.28,184.549,207893,3,studio
7igZXPqcTPIhnjqzlsKNyw,0.206,0.542,7,-12.035,1,0.0298,0.831,0,0.152,0.436,139.316,303333,3,studio
52vA3CYKZqZVdQnzRrdZt6,0.396,0.389,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,192053,3,studio
3Si9u9FVlUTcUXVcawnstJ,0.312,0.683,3,-13.588,1,0.0371,0.912,0.000123,0.0996,0.519,111.468,302307,4,studio
5hBOEqqkcQaUgkRhh6EyX4,0.222,0.47,0,-12.352,1,0.041,0.725,0,0.22,0.291,116.487,424413,3,studio
5ATUmaVJWUTTagmPwQLck3,0.115,0.475,0,-16.284,1,0.0339,0.785,0.00794,0.12,0.25,103.753,157524,4,studio
